REPRESENTATIVE,PARTY,STATE,DISTRICT
"Keller, Fred",Republican,Pennsylvania (PA),12th
"Kelly, Mike",Republican,Pennsylvania (PA),16th
"Kelly, Robin L.",Democrat,Illinois (IL),2nd
"Kelly, Trent",Republican,Mississippi (MS),1st
"Khanna, Ro",Democrat,California (CA),17th
"Kildee, Daniel T.",Democrat,Michigan (MI),5th
"Kilmer, Derek",Democrat,Washington (WA),6th
"Kim, Andy",Democrat,New Jersey (NJ),3rd
"Kim, Young",Republican,California (CA),39th
"Kind, Ron",Democrat,Wisconsin (WI),3rd
"Kinzinger, Adam",Republican,Illinois (IL),16th
"Kirkpatrick, Ann",Democrat,Arizona (AZ),2nd
"Krishnamoorthi, Raja",Democrat,Illinois (IL),8th
"Kuster, Ann M.",Democrat,New Hampshire (NH),2nd
"Kustoff, David",Republican,Tennessee (TN),8th
"LaHood, Darin",Republican,Illinois (IL),18th
"LaMalfa, Doug",Republican,California (CA),1st
"Lamb, Conor",Democrat,Pennsylvania (PA),17th
"Lamborn, Doug",Republican,Colorado (CO),5th
"Langevin, James R.",Democrat,Rhode Island (RI),2nd
"Larsen, Rick",Democrat,Washington (WA),2nd
"Larson, John B.",Democrat,Connecticut (CT),1st
"Latta, Robert E.",Republican,Ohio (OH),5th
"LaTurner, Jake",Republican,Kansas (KS),2nd
"Lawrence, Brenda L.",Democrat,Michigan (MI),14th
"Lawson, Al Jr.",Democrat,Florida (FL),5th
"Lee, Barbara",Democrat,California (CA),13th
"Lee, Susie",Democrat,Nevada (NV),3rd
"Leger Fernandez, Teresa",Democrat,New Mexico (NM),3rd
"Lesko, Debbie",Republican,Arizona (AZ),8th
"Letlow, Julia",Republican,Louisiana (LA),5th
"Levin, Andy",Democrat,Michigan (MI),9th
"Levin, Mike",Democrat,California (CA),49th
"Lieu, Ted",Democrat,California (CA),33rd
"Lofgren, Zoe",Democrat,California (CA),19th
"Long, Billy",Republican,Missouri (MO),7th
"Loudermilk, Barry",Republican,Georgia (GA),11th
"Lowenthal, Alan S.",Democrat,California (CA),47th
"Lucas, Frank D.",Republican,Oklahoma (OK),3rd
"Luetkemeyer, Blaine",Republican,Missouri (MO),3rd
"Luria, Elaine G.",Democrat,Virginia (VA),2nd
"Lynch, Stephen F.",Democrat,Massachusetts (MA),8th
"Mace, Nancy",Republican,South Carolina (SC),1st
"Malinowski, Tom",Democrat,New Jersey (NJ),7th
"Malliotakis, Nicole",Republican,New York (NY),11th
"Maloney, Carolyn B.",Democrat,New York (NY),12th
"Maloney, Sean Patrick",Democrat,New York (NY),18th
"Mann, Tracey",Republican,Kansas (KS),1st
"Manning, Kathy E.",Democrat,North Carolina (NC),6th
"Massie, Thomas",Republican,Kentucky (KY),4th
"Mast, Brian J.",Republican,Florida (FL),18th
"Matsui, Doris O.",Democrat,California (CA),6th
"McBath, Lucy",Democrat,Georgia (GA),6th
"McCarthy, Kevin",Republican,California (CA),23rd
"McCaul, Michael T.",Republican,Texas (TX),10th
"McClain, Lisa C.",Republican,Michigan (MI),10th
"McClintock, Tom",Republican,California (CA),4th
"McCollum, Betty",Democrat,Minnesota (MN),4th
"McEachin, A. Donald",Democrat,Virginia (VA),4th
"McGovern, James P.",Democrat,Massachusetts (MA),2nd
"McHenry, Patrick T.",Republican,North Carolina (NC),10th
"McKinley, David B.",Republican,West Virginia (WV),1st
"McNerney, Jerry",Democrat,California (CA),9th
"Meeks, Gregory W.",Democrat,New York (NY),5th
"Meijer, Peter",Republican,Michigan (MI),3rd
"Meng, Grace",Democrat,New York (NY),6th
"Meuser, Daniel",Republican,Pennsylvania (PA),9th
"Mfume, Kweisi",Democrat,Maryland (MD),7th
"Miller, Carol D.",Republican,West Virginia (WV),3rd
"Miller, Mary E.",Republican,Illinois (IL),15th
"Miller-Meeks, Mariannette",Republican,Iowa (IA),2nd
"Moolenaar, John R.",Republican,Michigan (MI),4th
"Mooney, Alexander X.",Republican,West Virginia (WV),2nd
"Moore, Barry",Republican,Alabama (AL),2nd
"Moore, Blake D.",Republican,Utah (UT),1st
"Moore, Gwen",Democrat,Wisconsin (WI),4th
"Morelle, Joseph D.",Democrat,New York (NY),25th
"Moulton, Seth",Democrat,Massachusetts (MA),6th
"Mrvan, Frank J.",Democrat,Indiana (IN),1st
"Mullin, Markwayne",Republican,Oklahoma (OK),2nd
"Murphy, Gregory F.",Republican,North Carolina (NC),3rd
"Murphy, Stephanie N.",Democrat,Florida (FL),7th
"Nadler, Jerrold",Democrat,New York (NY),10th
"Napolitano, Grace F.",Democrat,California (CA),32nd
"Neal, Richard E.",Democrat,Massachusetts (MA),1st
"Neguse, Joe",Democrat,Colorado (CO),2nd
"Nehls, Troy E.",Republican,Texas (TX),22nd
"Newhouse, Dan",Republican,Washington (WA),4th
"Newman, Marie",Democrat,Illinois (IL),3rd
"Norcross, Donald",Democrat,New Jersey (NJ),1st
"Norman, Ralph",Republican,South Carolina (SC),5th
"Norton, Eleanor Holmes",Democrat,District of Columbia (DC),Delegate
"Nunes, Devin",Republican,California (CA),22nd
"O'Halleran, Tom",Democrat,Arizona (AZ),1st
"Obernolte, Jay",Republican,California (CA),8th
"Ocasio-Cortez, Alexandria",Democrat,New York (NY),14th
"Omar, Ilhan",Democrat,Minnesota (MN),5th
"Owens, Burgess",Republican,Utah (UT),4th
"Palazzo, Steven M.",Republican,Mississippi (MS),4th
"Pallone, Frank Jr.",Democrat,New Jersey (NJ),6th
"Palmer, Gary J.",Republican,Alabama (AL),6th
"Panetta, Jimmy",Democrat,California (CA),20th
"Pappas, Chris",Democrat,New Hampshire (NH),1st
"Pascrell, Bill Jr.",Democrat,New Jersey (NJ),9th
"Payne, Donald M. Jr.",Democrat,New Jersey (NJ),10th
"Pelosi, Nancy",Democrat,California (CA),12th
"Pence, Greg",Republican,Indiana (IN),6th
"Perlmutter, Ed",Democrat,Colorado (CO),7th
"Perry, Scott",Republican,Pennsylvania (PA),10th
"Peters, Scott H.",Democrat,California (CA),52nd
"Pfluger, August",Republican,Texas (TX),11th
"Phillips, Dean",Democrat,Minnesota (MN),3rd
"Pingree, Chellie",Democrat,Maine (ME),1st
"Plaskett, Stacey E.",Democrat,Virgin Islands (VI),Delegate
"Pocan, Mark",Democrat,Wisconsin (WI),2nd
"Porter, Katie",Democrat,California (CA),45th
"Posey, Bill",Republican,Florida (FL),8th
"Pressley, Ayanna",Democrat,Massachusetts (MA),7th
"Price, David E.",Democrat,North Carolina (NC),4th
"Quigley, Mike",Democrat,Illinois (IL),5th
"Radewagen, Aumua Amata Coleman",Republican,American Samoa (AS),Delegate
"Raskin, Jamie",Democrat,Maryland (MD),8th
"Reed, Tom",Republican,New York (NY),23rd
"Reschenthaler, Guy",Republican,Pennsylvania (PA),14th
"Rice, Kathleen M.",Democrat,New York (NY),4th
"Rice, Tom",Republican,South Carolina (SC),7th
"Rodgers, Cathy McMorris",Republican,Washington (WA),5th
"Rogers, Harold",Republican,Kentucky (KY),5th
"Rogers, Mike",Republican,Alabama (AL),3rd
"Rose, John W.",Republican,Tennessee (TN),6th
"Rosendale, Matthew M. Sr.",Republican,Montana (MT),At Large
"Ross, Deborah K.",Democrat,North Carolina (NC),2nd
"Rouzer, David",Republican,North Carolina (NC),7th
"Roy, Chip",Republican,Texas (TX),21st
"Roybal-Allard, Lucille",Democrat,California (CA),40th
"Ruiz, Raul",Democrat,California (CA),36th
"Ruppersberger, C. A. Dutch",Democrat,Maryland (MD),2nd
"Rush, Bobby L.",Democrat,Illinois (IL),1st
"Rutherford, John H.",Republican,Florida (FL),4th
"Ryan, Tim",Democrat,Ohio (OH),13th
"Sablan, Gregorio Kilili Camacho",Democrat,Northern Mariana Islands (MP),Delegate
"Salazar, Maria Elvira",Republican,Florida (FL),27th
"San Nicolas, Michael F. Q.",Democrat,Guam (GU),Delegate
"Sarbanes, John P.",Democrat,Maryland (MD),3rd
"Scalise, Steve",Republican,Louisiana (LA),1st
"Scanlon, Mary Gay",Democrat,Pennsylvania (PA),5th
"Schakowsky, Janice D.",Democrat,Illinois (IL),9th
"Schiff, Adam B.",Democrat,California (CA),28th
"Schneider, Bradley Scott",Democrat,Illinois (IL),10th
"Schrader, Kurt",Democrat,Oregon (OR),5th
"Schrier, Kim",Democrat,Washington (WA),8th
"Schweikert, David",Republican,Arizona (AZ),6th
"Scott, Austin",Republican,Georgia (GA),8th
"Scott, David",Democrat,Georgia (GA),13th
"Scott, Robert C. ""Bobby""",Democrat,Virginia (VA),3rd
"Sessions, Pete",Republican,Texas (TX),17th
"Sewell, Terri A.",Democrat,Alabama (AL),7th
"Sherman, Brad",Democrat,California (CA),30th
"Sherrill, Mikie",Democrat,New Jersey (NJ),11th
"Simpson, Michael K.",Republican,Idaho (ID),2nd
"Sires, Albio",Democrat,New Jersey (NJ),8th
"Slotkin, Elissa",Democrat,Michigan (MI),8th
"Smith, Adam",Democrat,Washington (WA),9th
"Smith, Adrian",Republican,Nebraska (NE),3rd
"Smith, Christopher H.",Republican,New Jersey (NJ),4th
"Smith, Jason",Republican,Missouri (MO),8th
"Smucker, Lloyd",Republican,Pennsylvania (PA),11th
"Soto, Darren",Democrat,Florida (FL),9th
"Spanberger, Abigail Davis",Democrat,Virginia (VA),7th
"Spartz, Victoria",Republican,Indiana (IN),5th
"Speier, Jackie",Democrat,California (CA),14th
"Stansbury, Melanie A.",Democrat,New Mexico (NM),1st
"Stanton, Greg",Democrat,Arizona (AZ),9th
"Stauber, Pete",Republican,Minnesota (MN),8th
"Steel, Michelle",Republican,California (CA),48th
"Stefanik, Elise M.",Republican,New York (NY),21st
"Steil, Bryan",Republican,Wisconsin (WI),1st
"Steube, W. Gregory",Republican,Florida (FL),17th
"Stevens, Haley M.",Democrat,Michigan (MI),11th
"Stewart, Chris",Republican,Utah (UT),2nd
"Strickland, Marilyn",Democrat,Washington (WA),10th
"Suozzi, Thomas R.",Democrat,New York (NY),3rd
"Swalwell, Eric",Democrat,California (CA),15th
"Sánchez, Linda T.",Democrat,California (CA),38th
"Takano, Mark",Democrat,California (CA),41st
"Taylor, Van",Republican,Texas (TX),3rd
"Tenney, Claudia",Republican,New York (NY),22nd
"Thompson, Bennie G.",Democrat,Mississippi (MS),2nd
"Thompson, Glenn",Republican,Pennsylvania (PA),15th
"Thompson, Mike",Democrat,California (CA),5th
"Tiffany, Thomas P.",Republican,Wisconsin (WI),7th
"Timmons, William R. IV",Republican,South Carolina (SC),4th
"Titus, Dina",Democrat,Nevada (NV),1st
"Tlaib, Rashida",Democrat,Michigan (MI),13th
"Tonko, Paul",Democrat,New York (NY),20th
"Torres, Norma J.",Democrat,California (CA),35th
"Torres, Ritchie",Democrat,New York (NY),15th
"Trahan, Lori",Democrat,Massachusetts (MA),3rd
"Trone, David J.",Democrat,Maryland (MD),6th
"Turner, Michael R.",Republican,Ohio (OH),10th
"Underwood, Lauren",Democrat,Illinois (IL),14th
"Upton, Fred",Republican,Michigan (MI),6th
"Valadao, David G.",Republican,California (CA),21st
"Van Drew, Jefferson",Republican,New Jersey (NJ),2nd
"Van Duyne, Beth",Republican,Texas (TX),24th
"Vargas, Juan",Democrat,California (CA),51st
"Veasey, Marc A.",Democrat,Texas (TX),33rd
"Vela, Filemon",Democrat,Texas (TX),34th
"Velázquez, Nydia M.",Democrat,New York (NY),7th
"Wagner, Ann",Republican,Missouri (MO),2nd
"Walberg, Tim",Republican,Michigan (MI),7th
"Walorski, Jackie",Republican,Indiana (IN),2nd
"Waltz, Michael",Republican,Florida (FL),6th
"Wasserman Schultz, Debbie",Democrat,Florida (FL),23rd
"Waters, Maxine",Democrat,California (CA),43rd
"Watson Coleman, Bonnie",Democrat,New Jersey (NJ),12th
"Weber, Randy K. Sr.",Republican,Texas (TX),14th
"Webster, Daniel",Republican,Florida (FL),11th
"Welch, Peter",Democrat,Vermont (VT),At Large
"Wenstrup, Brad R.",Republican,Ohio (OH),2nd
"Westerman, Bruce",Republican,Arkansas (AR),4th
"Wexton, Jennifer",Democrat,Virginia (VA),10th
"Wild, Susan",Democrat,Pennsylvania (PA),7th
"Williams, Nikema",Democrat,Georgia (GA),5th
"Williams, Roger",Republican,Texas (TX),25th
"Wilson, Frederica S.",Democrat,Florida (FL),24th
"Wilson, Joe",Republican,South Carolina (SC),2nd
"Wittman, Robert J.",Republican,Virginia (VA),1st
"Womack, Steve",Republican,Arkansas (AR),3rd
"Yarmuth, John A.",Democrat,Kentucky (KY),3rd
"Young, Don",Republican,Alaska (AK),At Large
"Zeldin, Lee M.",Republican,New York (NY),1st
